date,ticker,permno,prc,vol,ret
2020-12-14,MSFT,10107,214.2,28724024.0,0.004408
2020-12-15,MSFT,10107,214.13,26979122.0,-0.000327
2020-12-16,MSFT,10107,219.28,34982749.0,0.024051
2020-12-17,MSFT,10107,219.42,32507555.0,0.000638
2020-12-18,MSFT,10107,218.59,63278405.0,-0.003783
2020-12-21,MSFT,10107,222.59,37130683.0,0.018299
2020-12-22,MSFT,10107,223.94,22625322.0,0.006065
2020-12-23,MSFT,10107,221.02,18662773.0,-0.013039
2020-12-24,MSFT,10107,222.75,10530152.0,0.007827
2020-12-28,MSFT,10107,224.96001,17896853.0,0.009921
2020-12-29,MSFT,10107,224.14999,17379372.0,-0.003601
2020-12-30,MSFT,10107,221.67999,20235782.0,-0.011019
2020-12-31,MSFT,10107,222.42,20916638.0,0.003338
2021-01-04,MSFT,10107,217.69,37089039.0,-0.021266
2021-01-05,MSFT,10107,217.89999,23794016.0,0.000965
2021-01-06,MSFT,10107,212.25,35861912.0,-0.025929
2021-01-07,MSFT,10107,218.28999,27659866.0,0.028457
2021-01-08,MSFT,10107,219.62,22914645.0,0.006093
2021-01-11,MSFT,10107,217.49001,23026750.0,-0.009699
2021-01-12,MSFT,10107,214.92999,23229822.0,-0.011771
2021-01-13,MSFT,10107,216.34,20069123.0,0.00656
2021-01-14,MSFT,10107,213.02,29812728.0,-0.015346
2021-01-15,MSFT,10107,212.64999,31704133.0,-0.001737
2021-01-19,MSFT,10107,216.44,30453173.0,0.017823
2021-01-20,MSFT,10107,224.34,37704943.0,0.0365
2021-01-21,MSFT,10107,224.97,30802424.0,0.002808
2021-01-22,MSFT,10107,225.95,30119838.0,0.004356
2021-01-25,MSFT,10107,229.53,33093539.0,0.015844
2021-01-26,MSFT,10107,232.33,49100737.0,0.012199
2021-01-27,MSFT,10107,232.89999,70670403.0,0.002453
2021-01-28,MSFT,10107,238.92999,49025266.0,0.025891
2021-01-29,MSFT,10107,231.96001,42435379.0,-0.029172
2021-02-01,MSFT,10107,239.64999,33252825.0,0.033152
2021-02-02,MSFT,10107,239.50999,25863078.0,-0.000584
2021-02-03,MSFT,10107,243.0,27060430.0,0.014571
2021-02-04,MSFT,10107,242.00999,25212368.0,-0.004074
2021-02-05,MSFT,10107,242.2,18009761.0,0.000785
2021-02-08,MSFT,10107,242.47,22167146.0,0.001115
2021-02-09,MSFT,10107,243.77,23540079.0,0.005362
2021-02-10,MSFT,10107,242.82001,22195371.0,-0.003897
2021-02-11,MSFT,10107,244.49001,15722796.0,0.006878
2021-02-12,MSFT,10107,244.99001,16540999.0,0.002045
2021-02-16,MSFT,10107,243.7,26695936.0,-0.005266
2021-02-17,MSFT,10107,244.2,21637364.0,0.00435
2021-02-18,MSFT,10107,243.78999,16910868.0,-0.001679
2021-02-19,MSFT,10107,240.97,25206105.0,-0.011567
2021-02-22,MSFT,10107,234.50999,36391945.0,-0.026808
2021-02-23,MSFT,10107,233.27,30163707.0,-0.005288
2021-02-24,MSFT,10107,234.55,26301783.0,0.005487
2021-02-25,MSFT,10107,228.99001,39462272.0,-0.023705
2021-02-26,MSFT,10107,232.38,37679175.0,0.014804
2021-03-01,MSFT,10107,236.94,25283556.0,0.019623
2021-03-02,MSFT,10107,233.87,22779932.0,-0.012957
2021-03-03,MSFT,10107,227.56,33926329.0,-0.026981
2021-03-04,MSFT,10107,226.73,44596506.0,-0.003647
2021-03-05,MSFT,10107,231.60001,41780603.0,0.021479
2021-03-08,MSFT,10107,227.39,35197716.0,-0.018178
2021-03-09,MSFT,10107,233.78,33022864.0,0.028102
2021-03-10,MSFT,10107,232.42,29675052.0,-0.005817
2021-03-11,MSFT,10107,237.13,29848828.0,0.020265
2021-03-12,MSFT,10107,235.75,22637291.0,-0.00582
2021-03-15,MSFT,10107,234.81,26011300.0,-0.003987
2021-03-16,MSFT,10107,237.71001,28042808.0,0.012351
2021-03-17,MSFT,10107,237.03999,29538537.0,-0.002819
2021-03-18,MSFT,10107,230.72,34810722.0,-0.026662
2021-03-19,MSFT,10107,230.35001,46375066.0,-0.001604
2021-03-22,MSFT,10107,235.99001,30097293.0,0.024485
2021-03-23,MSFT,10107,237.58,31668869.0,0.006738
2021-03-24,MSFT,10107,235.46001,25572321.0,-0.008923
2021-03-25,MSFT,10107,232.34,34032843.0,-0.013251
2021-03-26,MSFT,10107,236.48,25465939.0,0.017819
2021-03-29,MSFT,10107,235.24001,26270976.0,-0.005244
2021-03-30,MSFT,10107,231.85001,24756958.0,-0.014411
2021-03-31,MSFT,10107,235.77,43529147.0,0.016908
2021-04-01,MSFT,10107,242.35001,30310601.0,0.027909
2021-04-05,MSFT,10107,249.07001,36880414.0,0.027729
2021-04-06,MSFT,10107,247.86,22908156.0,-0.004858
2021-04-07,MSFT,10107,249.89999,22691053.0,0.00823
2021-04-08,MSFT,10107,253.25,23599367.0,0.013405
2021-04-09,MSFT,10107,255.85001,24289760.0,0.010267
2021-04-12,MSFT,10107,255.91,27111522.0,0.000235
2021-04-13,MSFT,10107,258.48999,23801741.0,0.010082
2021-04-14,MSFT,10107,255.59,23028434.0,-0.011219
2021-04-15,MSFT,10107,259.5,25608187.0,0.015298
2021-04-16,MSFT,10107,260.73999,24856583.0,0.004778
2021-04-19,MSFT,10107,258.73999,23183103.0,-0.00767
2021-04-20,MSFT,10107,258.26001,19700433.0,-0.001855
2021-04-21,MSFT,10107,260.57999,24134659.0,0.008983
2021-04-22,MSFT,10107,257.17001,25575599.0,-0.013086
2021-04-23,MSFT,10107,261.14999,21475411.0,0.015476
2021-04-26,MSFT,10107,261.54999,19728316.0,0.001532
2021-04-27,MSFT,10107,261.97,31011609.0,0.001606
2021-04-28,MSFT,10107,254.56,46821276.0,-0.028286
2021-04-29,MSFT,10107,252.50999,40541027.0,-0.008053
2021-04-30,MSFT,10107,252.17999,30878693.0,-0.001307
2021-05-03,MSFT,10107,251.86,19652087.0,-0.001269
2021-05-04,MSFT,10107,247.78999,32699654.0,-0.01616
2021-05-05,MSFT,10107,246.47,21876831.0,-0.005327
2021-05-06,MSFT,10107,249.73,26471720.0,0.013227
2021-05-07,MSFT,10107,252.46001,27000234.0,0.010932
2021-05-10,MSFT,10107,247.17999,29263666.0,-0.020914
2021-05-11,MSFT,10107,246.23,33610012.0,-0.003843
2021-05-12,MSFT,10107,239.0,36609390.0,-0.029363
2021-05-13,MSFT,10107,243.03,29590857.0,0.016862
2021-05-14,MSFT,10107,248.14999,24023474.0,0.021067
2021-05-17,MSFT,10107,245.17999,24942341.0,-0.011969
2021-05-18,MSFT,10107,243.08,20144534.0,-0.008565
2021-05-19,MSFT,10107,243.12,25711097.0,0.002468
2021-05-20,MSFT,10107,246.48,21768450.0,0.01382
2021-05-21,MSFT,10107,245.17,21922422.0,-0.005315
2021-05-24,MSFT,10107,250.78,21379095.0,0.022882
2021-05-25,MSFT,10107,251.72,17681986.0,0.003748
2021-05-26,MSFT,10107,251.49001,17762649.0,-0.000914
2021-05-27,MSFT,10107,249.31,24406475.0,-0.008668
2021-05-28,MSFT,10107,249.67999,18251898.0,0.001484
2021-06-01,MSFT,10107,247.39999,23190059.0,-0.009132
2021-06-02,MSFT,10107,247.3,19358103.0,-0.000404
2021-06-03,MSFT,10107,245.71001,25283978.0,-0.006429
2021-06-04,MSFT,10107,250.78999,25255797.0,0.020675
2021-06-07,MSFT,10107,253.81,23014222.0,0.012042
2021-06-08,MSFT,10107,252.57001,22423620.0,-0.004886
2021-06-09,MSFT,10107,253.59,17911747.0,0.004038
2021-06-10,MSFT,10107,257.23999,24548788.0,0.014393
2021-06-11,MSFT,10107,257.89001,18980823.0,0.002527
2021-06-14,MSFT,10107,259.89001,19127612.0,0.007755
2021-06-15,MSFT,10107,258.35999,18023474.0,-0.005887
2021-06-16,MSFT,10107,257.38,27179228.0,-0.003793
2021-06-17,MSFT,10107,260.89999,27535879.0,0.013676
2021-06-18,MSFT,10107,259.42999,37163285.0,-0.005634
2021-06-21,MSFT,10107,262.63,26676937.0,0.012335
2021-06-22,MSFT,10107,265.51001,24677909.0,0.010966
2021-06-23,MSFT,10107,265.27499,19501358.0,-0.000885
2021-06-24,MSFT,10107,266.69,21453273.0,0.005334
2021-06-25,MSFT,10107,265.01999,25585076.0,-0.006262
2021-06-28,MSFT,10107,268.72,19580167.0,0.013961
2021-06-29,MSFT,10107,271.39999,19921691.0,0.009973
2021-06-30,MSFT,10107,270.89999,21629418.0,-0.001842
2021-07-01,MSFT,10107,271.60001,16709942.0,0.002584
2021-07-02,MSFT,10107,277.64999,26445879.0,0.022275
2021-07-06,MSFT,10107,277.66,31529618.0,3.6e-05
2021-07-07,MSFT,10107,279.92999,23241653.0,0.008175
2021-07-08,MSFT,10107,277.42001,24599805.0,-0.008966
2021-07-09,MSFT,10107,277.94,23882069.0,0.001874
2021-07-12,MSFT,10107,277.32001,18910515.0,-0.002231
2021-07-13,MSFT,10107,280.98001,26089011.0,0.013198
2021-07-14,MSFT,10107,282.51001,23061882.0,0.005445
2021-07-15,MSFT,10107,281.03,22584004.0,-0.005239
2021-07-16,MSFT,10107,280.75,26145941.0,-0.000996
2021-07-19,MSFT,10107,277.01001,32889818.0,-0.013321
2021-07-20,MSFT,10107,279.32001,26230655.0,0.008339
2021-07-21,MSFT,10107,281.39999,24310747.0,0.007447
2021-07-22,MSFT,10107,286.14001,23354797.0,0.016844
2021-07-23,MSFT,10107,289.67001,22752136.0,0.012337
2021-07-26,MSFT,10107,289.04999,23125324.0,-0.00214
2021-07-27,MSFT,10107,286.54001,33545198.0,-0.008684
2021-07-28,MSFT,10107,286.22,33526643.0,-0.001117
2021-07-29,MSFT,10107,286.5,18104357.0,0.000978
2021-07-30,MSFT,10107,284.91,21039384.0,-0.00555
2021-08-02,MSFT,10107,284.82001,16243627.0,-0.000316
2021-08-03,MSFT,10107,287.12,17863351.0,0.008075
2021-08-04,MSFT,10107,286.51001,16163239.0,-0.002125
2021-08-05,MSFT,10107,289.51999,13885932.0,0.010506
2021-08-06,MSFT,10107,289.45999,16581352.0,-0.000207
2021-08-09,MSFT,10107,288.32999,16092239.0,-0.003904
2021-08-10,MSFT,10107,286.44,18598814.0,-0.006555
2021-08-11,MSFT,10107,286.95001,13941639.0,0.001781
2021-08-12,MSFT,10107,289.81,14561384.0,0.009967
2021-08-13,MSFT,10107,292.85001,18225649.0,0.01049
2021-08-16,MSFT,10107,294.60001,22503428.0,0.005976
2021-08-17,MSFT,10107,293.07999,20063307.0,-0.00516
2021-08-18,MSFT,10107,290.73001,21856020.0,-0.006107
2021-08-19,MSFT,10107,296.76999,29615933.0,0.020775
2021-08-20,MSFT,10107,304.35999,40955240.0,0.025575
2021-08-23,MSFT,10107,304.64999,22887929.0,0.000953
2021-08-24,MSFT,10107,302.62,18162940.0,-0.006663
2021-08-25,MSFT,10107,302.01001,20544370.0,-0.002016
2021-08-26,MSFT,10107,299.09,17644212.0,-0.009669
2021-08-27,MSFT,10107,299.72,22573063.0,0.002106
2021-08-30,MSFT,10107,303.59,16333264.0,0.012912
2021-08-31,MSFT,10107,301.88,26250159.0,-0.005633
2021-09-01,MSFT,10107,301.82999,18958615.0,-0.000166
2021-09-02,MSFT,10107,301.14999,16271914.0,-0.002253
2021-09-03,MSFT,10107,301.14001,14735567.0,-3.3e-05
2021-09-07,MSFT,10107,300.17999,17154648.0,-0.003188
2021-09-08,MSFT,10107,300.20999,15033831.0,0.0001
2021-09-09,MSFT,10107,297.25,19905427.0,-0.00986
2021-09-10,MSFT,10107,295.70999,19611887.0,-0.005181
2021-09-13,MSFT,10107,296.98999,23632548.0,0.004329
2021-09-14,MSFT,10107,299.79001,21825032.0,0.009428
2021-09-15,MSFT,10107,304.82001,28329536.0,0.016778
2021-09-16,MSFT,10107,305.22,19529377.0,0.001312
2021-09-17,MSFT,10107,299.87,41321530.0,-0.017528
2021-09-20,MSFT,10107,294.29999,38247523.0,-0.018575
2021-09-21,MSFT,10107,294.79999,22334497.0,0.001699
2021-09-22,MSFT,10107,298.57999,26600757.0,0.012822
2021-09-23,MSFT,10107,299.56,18580039.0,0.003282
2021-09-24,MSFT,10107,299.35001,14976866.0,-0.000701
2021-09-27,MSFT,10107,294.17001,23553060.0,-0.017304
2021-09-28,MSFT,10107,283.51999,43110297.0,-0.036204
2021-09-29,MSFT,10107,284.0,26318139.0,0.001693
2021-09-30,MSFT,10107,281.92001,32304285.0,-0.007324
2021-10-01,MSFT,10107,289.10001,30047259.0,0.025468
2021-10-04,MSFT,10107,283.10999,31314825.0,-0.02072
2021-10-05,MSFT,10107,288.76001,24955731.0,0.019957
2021-10-06,MSFT,10107,293.10999,27961759.0,0.015064
2021-10-07,MSFT,10107,294.85001,20409971.0,0.005936
2021-10-08,MSFT,10107,294.85001,17667404.0,0.0
2021-10-11,MSFT,10107,294.23001,19270663.0,-0.002103
2021-10-12,MSFT,10107,292.88,17952210.0,-0.004588
2021-10-13,MSFT,10107,296.31,23409422.0,0.011711
2021-10-14,MSFT,10107,302.75,27211430.0,0.021734
2021-10-15,MSFT,10107,304.20999,25361968.0,0.004822
2021-10-18,MSFT,10107,307.29001,22703426.0,0.010125
2021-10-19,MSFT,10107,308.23001,17661806.0,0.003059
2021-10-20,MSFT,10107,307.41,16514253.0,-0.00266
2021-10-21,MSFT,10107,310.76001,16892541.0,0.010898
2021-10-22,MSFT,10107,309.16,17432592.0,-0.005149
2021-10-25,MSFT,10107,308.13,17511286.0,-0.003332
2021-10-26,MSFT,10107,310.10999,28075904.0,0.006426
2021-10-27,MSFT,10107,323.17001,52490909.0,0.042114
2021-10-28,MSFT,10107,324.35001,26210759.0,0.003651
2021-10-29,MSFT,10107,331.62,34695153.0,0.022414
2021-11-01,MSFT,10107,329.37,27078710.0,-0.006785
2021-11-02,MSFT,10107,333.13,26410445.0,0.011416
2021-11-03,MSFT,10107,334.0,21468549.0,0.002612
2021-11-04,MSFT,10107,336.44,23950888.0,0.007305
2021-11-05,MSFT,10107,336.06,22526181.0,-0.001129
2021-11-08,MSFT,10107,336.98999,20865147.0,0.002767
2021-11-09,MSFT,10107,335.95001,21240194.0,-0.003086
2021-11-10,MSFT,10107,330.79999,25451215.0,-0.01533
2021-11-11,MSFT,10107,332.42999,16859593.0,0.004927
2021-11-12,MSFT,10107,336.72,23795843.0,0.012905
2021-11-15,MSFT,10107,336.07001,16685878.0,-0.00193
2021-11-16,MSFT,10107,339.51001,20832225.0,0.010236
2021-11-17,MSFT,10107,339.12,19000499.0,0.000677
2021-11-18,MSFT,10107,341.26999,22420998.0,0.00634
2021-11-19,MSFT,10107,343.10999,21917574.0,0.005392
2021-11-22,MSFT,10107,339.82999,31249552.0,-0.00956
2021-11-23,MSFT,10107,337.67999,30369960.0,-0.006327
2021-11-24,MSFT,10107,337.91,21628466.0,0.000681
2021-11-26,MSFT,10107,329.67999,24099226.0,-0.024356
2021-11-29,MSFT,10107,336.63,28500522.0,0.021081
2021-11-30,MSFT,10107,330.59,42802613.0,-0.017943
2021-12-01,MSFT,10107,330.07999,33331631.0,-0.001543
2021-12-02,MSFT,10107,329.48999,30711534.0,-0.001787
2021-12-03,MSFT,10107,323.01001,41726543.0,-0.019667
2021-12-06,MSFT,10107,326.19,29996368.0,0.009845
2021-12-07,MSFT,10107,334.92001,30974947.0,0.026764
2021-12-08,MSFT,10107,334.97,24731685.0,0.000149
2021-12-09,MSFT,10107,333.10001,22179842.0,-0.005583
2021-12-10,MSFT,10107,342.54001,38043479.0,0.02834
2021-12-13,MSFT,10107,339.39999,28868422.0,-0.009167
2021-12-14,MSFT,10107,328.34,44350980.0,-0.032587
2021-12-15,MSFT,10107,334.64999,35284184.0,0.019218
2021-12-16,MSFT,10107,324.89999,34946518.0,-0.029135
2021-12-17,MSFT,10107,323.79999,47914611.0,-0.003386
2021-12-20,MSFT,10107,319.91,28331572.0,-0.012014
2021-12-21,MSFT,10107,327.29001,24694876.0,0.023069
2021-12-22,MSFT,10107,333.20001,24874038.0,0.018057
2021-12-23,MSFT,10107,334.69,19590708.0,0.004472
2021-12-27,MSFT,10107,342.45001,19930278.0,0.023186
2021-12-28,MSFT,10107,341.25,15630296.0,-0.003504
2021-12-29,MSFT,10107,341.95001,15025066.0,0.002051
2021-12-30,MSFT,10107,339.32001,15965197.0,-0.007691
2021-12-31,MSFT,10107,336.32001,17974550.0,-0.008841
2022-01-03,MSFT,10107,334.75,28823566.0,-0.004668
2022-01-04,MSFT,10107,329.01001,32626156.0,-0.017147
2022-01-05,MSFT,10107,316.38,39957778.0,-0.038388
2022-01-06,MSFT,10107,313.88,39744069.0,-0.007902
2022-01-07,MSFT,10107,314.04001,32664078.0,0.00051
2022-01-10,MSFT,10107,314.26999,44236612.0,0.000732
2022-01-11,MSFT,10107,314.98001,29307097.0,0.002259
2022-01-12,MSFT,10107,318.26999,34312485.0,0.010445
2022-01-13,MSFT,10107,304.79999,45286074.0,-0.042323
2022-01-14,MSFT,10107,310.20001,39736749.0,0.017717
2022-01-18,MSFT,10107,302.64999,42324592.0,-0.024339
2022-01-19,MSFT,10107,303.32999,45814517.0,0.002247
2022-01-20,MSFT,10107,301.60001,35351255.0,-0.005703
2022-01-21,MSFT,10107,296.03,57897463.0,-0.018468
2022-01-24,MSFT,10107,296.37,85823911.0,0.001149
2022-01-25,MSFT,10107,288.48999,72658473.0,-0.026588
2022-01-26,MSFT,10107,296.70999,90217932.0,0.028493
2022-01-27,MSFT,10107,299.84,53322770.0,0.010549
2022-01-28,MSFT,10107,308.26001,49616322.0,0.028082
2022-01-31,MSFT,10107,310.98001,46306571.0,0.008824
2022-02-01,MSFT,10107,308.76001,40838131.0,-0.007139
2022-02-02,MSFT,10107,313.45999,36566574.0,0.015222
2022-02-03,MSFT,10107,301.25,43662713.0,-0.038952
2022-02-04,MSFT,10107,305.94,35018097.0,0.015569
2022-02-07,MSFT,10107,300.95001,28476821.0,-0.01631
2022-02-08,MSFT,10107,304.56,32375104.0,0.011995
2022-02-09,MSFT,10107,311.20999,31280605.0,0.021835
2022-02-10,MSFT,10107,302.38,45304866.0,-0.028373
2022-02-11,MSFT,10107,295.04001,39124413.0,-0.024274
2022-02-14,MSFT,10107,295.0,36302209.0,-0.000136
2022-02-15,MSFT,10107,300.47,27361580.0,0.018542
2022-02-16,MSFT,10107,299.5,29956515.0,-0.001165
2022-02-17,MSFT,10107,290.73001,32422138.0,-0.029282
2022-02-18,MSFT,10107,287.92999,34213657.0,-0.009631
2022-02-22,MSFT,10107,287.72,41684303.0,-0.000729
2022-02-23,MSFT,10107,280.26999,37773613.0,-0.025893
2022-02-24,MSFT,10107,294.59,56907841.0,0.051094
2022-02-25,MSFT,10107,297.31,32514141.0,0.009233
2022-02-28,MSFT,10107,298.79001,28814144.0,0.004978
2022-03-01,MSFT,10107,294.95001,31320281.0,-0.012852
2022-03-02,MSFT,10107,300.19,31825624.0,0.017766
2022-03-03,MSFT,10107,295.92001,27255075.0,-0.014224
2022-03-04,MSFT,10107,289.85999,32321650.0,-0.020479
2022-03-07,MSFT,10107,278.91,43086709.0,-0.037777
2022-03-08,MSFT,10107,275.85001,48082527.0,-0.010971
2022-03-09,MSFT,10107,288.5,35138885.0,0.045858
2022-03-10,MSFT,10107,285.59,30600158.0,-0.010087
2022-03-11,MSFT,10107,280.07001,27176913.0,-0.019328
2022-03-14,MSFT,10107,276.44,30615626.0,-0.012961
2022-03-15,MSFT,10107,287.14999,34183825.0,0.038743
2022-03-16,MSFT,10107,294.39001,38609981.0,0.025213
2022-03-17,MSFT,10107,295.22,30797409.0,0.002819
2022-03-18,MSFT,10107,300.42999,43320848.0,0.017648
2022-03-21,MSFT,10107,299.16,29186287.0,-0.004227
2022-03-22,MSFT,10107,304.06,27582727.0,0.016379
2022-03-23,MSFT,10107,299.48999,25686934.0,-0.01503
2022-03-24,MSFT,10107,304.10001,24464722.0,0.015393
2022-03-25,MSFT,10107,303.67999,22544459.0,-0.001381
2022-03-28,MSFT,10107,310.70001,29560701.0,0.023117
2022-03-29,MSFT,10107,315.41,30349457.0,0.015159
2022-03-30,MSFT,10107,313.85999,28134409.0,-0.004914
2022-03-31,MSFT,10107,308.31,33301367.0,-0.017683
2022-04-01,MSFT,10107,309.42001,27060828.0,0.0036
2022-04-04,MSFT,10107,314.97,24305850.0,0.017937
2022-04-05,MSFT,10107,310.88,23076509.0,-0.012985
2022-04-06,MSFT,10107,299.5,40020336.0,-0.036606
2022-04-07,MSFT,10107,301.37,31325226.0,0.006244
2022-04-08,MSFT,10107,296.97,24321149.0,-0.0146
2022-04-11,MSFT,10107,285.26001,34500218.0,-0.039432
2022-04-12,MSFT,10107,282.06,30916914.0,-0.011218
2022-04-13,MSFT,10107,287.62,21893137.0,0.019712
2022-04-14,MSFT,10107,279.82999,28227869.0,-0.027084
2022-04-18,MSFT,10107,280.51999,20721842.0,0.002466
2022-04-19,MSFT,10107,285.29999,22356479.0,0.01704
